,lien,flag,strong_word,content
0,https://www.jyga.fr/societe,JYGA," machines d’emballage l’ encaissage palettisation conditionnement  manipulation l’ agroalimentaire cosmétique-hygiène santé encaisseuses wrap fin de ligne étuis, barquettes, pots, doypack, flowpack, flacons / bouteilles, sacs / poches, cartons   produits nus encaisseuses wrap encaisseuses wrap caisses fermées caisses trottoirs caisses ouvertes palettiseurs  monoligne multi-ligne  autonomie  flexibilité manutention automatisée chargement robotisé encaissage caisses américaines flexibles  ergonomiques encaisseuses  satisfaction accompagnement personnalisé machines ergonomiques créatives et innovantes qualité personnalisé proximité réactivité french fab  ","société depuis 1992, la société jyga fournit des machines d’emballage pour les fins de ligne de production. ces machines sont conçues dans notre bureau d’étude, assemblées et automatisées dans notre atelier de plus de 1000 m2 à la séguinière (49) entre nantes et cholet. elles sont livrées clés en main et fonctionnelles après la phase de mise en production dans votre usine.  notre expertise s’articule autour de l’encaissage, de la palettisation, du conditionnement et de la manipulation. jyga est aujourd’hui reconnue auprès des industriels des secteurs de l’agroalimentaire, de la cosmétique-hygiène et de la santé. la demande croissante pour les encaisseuses wrap nous a conduit à créer la marque jybox, gamme de machines standard d’encaissage. forts de cette réussite, nous proposons en complément la gamme jypal pour les palettiseurs robotisés.avec un bureau d’études composé de techniciens expérimentés, jyga apporte des solutions de fin de ligne performantes, fiables et robustes. ces installations, mécanisées ou robotisées, sont en mesure de traiter une large gamme de produits : étuis, barquettes, pots, doypack, flowpack, flacons / bouteilles, sacs / poches, cartons ou encore produits nus. implantée dans l’ouest de la france, jyga jouit d’une croissance constante depuis plus de 25 ans. l’entreprise réunit aujourd’hui 40 collaborateurs pour vous accompagner depuis l’avant-projet jusqu’à la mise en production. nos équipes vous aident ensuite à maintenir la performance de votre installation.      à partir d’une découpe de carton à plat, nos encaisseuses wrap forment les caisses pour y introduire vos produits de la façon la plus optimale possible, sans perte de place. jyga a développé une gamme d’encaisseuses wrap pour caisses fermées, caisses trottoirs ou caisses ouvertes. ces encaisseuses wrap font partie de la gamme standard jybox.jyga vous propose une gamme de palettiseurs monoligne ou multi-ligne pouvant palettiser des caisses, des sacs, des fardeaux … à l’unité, à la rangée ou à la couche. gagnez en autonomie et flexibilité à l’aide de notre logiciel de plan de palettisation jytool, installé sur l’ensemble de nos palettiseurs. ces palettiseurs font partie de la gamme standard jypal.vous avez besoin d’une solution pour charger vos produits ? jyga met à votre disposition des systèmes de manutention automatisée et de chargement robotisé. ces systèmes assurent des fonctions d’ étuyage, enclayage / déclayage, chargement/déchargement de machines, panachage … pour vos projets d’encaissage en caisses américaines, jyga a développé des solutions clés en main. flexibles et ergonomiques, nos machines s’adaptent à vos cadences, à vos produits et à vos fins de lignes. elles sont également conçues pour d’autres types de caisses. ces encaisseuses font partie de la gamme standard jybox. nous nous engageons au quotidien auprès de nos clients, fournisseurs et collaborateurs pour créer un lien durable et de qualité, qui est indissociable de la performance de nos machines. jyga se construit année après année sur des engagements solides qui sont :- des équipes dédiées à votre satisfaction
- un accompagnement personnalisé pour une meilleure acceptation de vos équipes 
- des machines ergonomiques, pensées pour vos opérateurs
- des idées créatives et innovantes
- des installations de qualité
- un suivi personnalisé
- de la proximité et de la réactivitéen tant que concepteur-intégrateur français, jyga s’engage également auprès du mouvement « french fab ». parce que nos machines sont conçues par des passionnés au savoir-faire traditionnel, nous sommes fiers d’intégrer ce nouveau mouvement construit autour de quatre leviers que sont la croissance, l'internationalisation, la digitalisation et la transition énergétique.dans notre métier, tous nos process reposent sur l’homme. à chaque étape, son intelligence est sollicitée pour concevoir, assembler et démarrer nos installations. par « homme » nous entendons tous les protagonistes qui collaborent pour mener à bien un même projet. c’est pourquoi nous accordons une importance toute particulière à la construction de relations saines et de confiance. nous sommes convaincus qu’un projet qui débute sur ces valeurs s’inscrira dans la réussite. partant de cet état d’esprit, la satisfaction de nos clients va au-delà de la fourniture d’installations performantes. nous avons à cœur d’allier sérieux, bonne humeur et bienveillance. jyga, c’est également la force d’un groupe. depuis 2014, la société fait partie du groupe industriel fideip.  le groupe vendéen se compose d’entreprises dont les métiers et les activités sont liés aux domaines de la mécanique. toutes les sociétés sont situées sur l’arc ouest : palamatic process, aivee, fidemeca, epsilon, id wash, mecadrum, lf technologies, altema. recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
1,https://www.jyga.fr/actualites,JYGA,," recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
2,https://www.jyga.fr/societe/recrutement,JYGA,passionnés par la robotique ,"bienvenue dans notre  espace recrutement jyga recherche continuellement de nouveaux talents. grâce à notre espace recrutement, découvrez nos métiers et nos offres d’emploi.
vous êtes étudiants, jeunes diplômés ou expérimentés, passionnés par la robotique ? alors n’attendez plus et envoyez-nous votre candidature !je dépose ma
candidatureje consulte les
offres d’emploirecevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
3,https://www.jyga.fr/conditionnement-emballage,JYGA,palettisation chargement automatique étuyage  enclayage/déclayage. découvrez ci-dessous nos machines adaptées à vos produits et à votre projet. ,"votre projet de fin de ligne en tant qu’industriel, quel soit votre secteur, vous êtes soucieux de la performance de vos fins de ligne. la recherche de productivité est votre quotidien. la mécanisation est une solution à votre disposition : encaissage, palettisation, chargement automatique, étuyage, enclayage/déclayage. le choix proposé par jyga est complet, riche de plus de vingt-cinq années d’expérience. 
chaque famille de produits réclame une mécanisation adéquate. etuis, sacs, bouteilles, boites … pour tous, jyga propose des solutions automatiques de fins de lignes agroalimentaire, cosmétique-hygiène, santé.découvrez ci-dessous nos machines adaptées à vos produits et à votre projet.recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
4,https://www.jyga.fr/encaisseuse-robotisee,JYGA,"d’encaissage   mise en caisse    mise en carton automatique d’encaisseuses automatiques fin de ligne dans l’industrie encaissage wrap encaissage  caisses américaines encaissage panaché  encaissage  étui carton caisse wrap caisse américaine encaissage fin de ligne encaisseuses automatiques (wrapeuses)  encaissage solution adaptée qui s’intègrera dans votre ligne de production. encaisseuses automatiques jyga  structure tout ino résistante aux environnements industriels humides, secs, froids assurer la cadence de production avec une faible usure  préserve la sécurité alimentaire des produits et l’accessibilité à l’encaisseuse nouvelles technologies à même d’améliorer les performances, l’utilisation et le suivi de nos cellules d'encaissage encaisseuses améliorez vos cadences de production compacité de nos encaisseuses ","encaisseuses automatiques nos cellules d’encaissage permettent de répondre à vos problématiques de mise en caisse  ou de mise en carton automatique de vos produits. avec notre gamme complète d’encaisseuses automatiques (wrappeuse), nous couvrons les différentes applications de fin de ligne dans l’industrie. basées sur nos standards éprouvés, nos encaisseuses, de conception française, sont flexibles et ergonomiques. selon votre besoin, nous vous proposons une solution adéquate : encaissage wrap (encaissage à partir d’une découpe de carton à plat), encaissage en caisses américaines, encaissage panaché etc.  dans une ligne de production, une fois que le produit est fabriqué (phase de process), on retrouve différentes étapes dont l’emballage primaire et l’emballage secondaire. l’emballage primaire est la première protection entre votre produit et l’environnement extérieur (le paquet de chips, la bouteille de vin, la canette, le papier de la tablette de chocolat). il entoure le produit fini/nu et le protège notamment du carton lors de l’encaissage.l’emballage secondaire est celui qui entoure l’emballage primaire. il peut s’agir d’un étui carton, d’une caisse wrap ou d’une caisse américaine. il est utilisé pour protéger, transporter le produit ; il peut également servir d’espace de communication. l’emballage secondaire contient un ou plusieurs emballages primaires (barquette, boite en carton, flowpack …). l’encaissage (la mise en carton automatique) intervient à cette étape de la fin de ligne.  grâce à 25 années de créativité et d’innovation, nos encaisseuses automatiques (wrapeuses) sont à même de répondre à toutes vos problématiques d’encaissage. quelles que soient la nature et la complexité de votre produit, vos cadences de production, votre implantation, nous saurons vous proposer une solution adaptée qui s’intègrera dans votre ligne de production. les encaisseuses automatiques jyga sont conçues à partir d’une structure tout inox, rigide et résistante aux environnements industriels humides, secs, froids etc. les systèmes mécaniques : introduction, collage, fermeture, sont spécialement conçus pour assurer la cadence de production avec une faible usure. leur implantation préserve la sécurité alimentaire des produits et l’accessibilité à l’encaisseuse.  à l’écoute des dernières nouveautés et en lien permanent avec nos différents partenaires, notre bureau d’étude reste en veille sur les nouvelles technologies à même d’améliorer les performances, l’utilisation et le suivi de nos cellules d'encaissage. innovations robotiques, systèmes de vision, solutions de contrôle/commande (brusless, controleur d’axe, ihm) etc. nous vous proposons les dernières technologies tout en prenant en compte votre budget. avec l’intégration de nos encaisseuses, vous améliorez vos cadences de production : nos encaisseuses atteignent 30 caisses/minute selon le format de produit et changent de format rapidement (fonction automatique ou manuelle). la compacité de nos encaisseuses permet d’optimiser l’espace au sein de votre unité de production. la base de nos encaisseuses sont conçues en fonction de votre caisse, jyga propose des encaisseuses wrap en caisse ouverte, caisse fermée, caisse trottoirs, ou encore des encaisseuses en caisses américaines ...
nos encaisseuses automatiques sont conçues pour apporter une grande aisance dans la conduite de l’ensemble des opérations. l’aide à la conduite se fait à partir d’une interface homme/machine centralisée et communiquant avec l’amont et l’aval de la cellule. cette ihm est conçue pour guider l’opérateur et le rendre plus autonome. en modernisant l’encaissage de vos lignes, vous :recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
5,https://www.jyga.fr/robot-palettiseur,JYGA,  ,"palettisation automatique nos palettiseurs permettent d’automatiser la mise sur palette de vos produits (caisses carton, sacs, packs fardelés). ils sont équipés de robots polyarticulés et conçus autour du même principe : positionnement de la palette, prise/dépose des produits par un robot palettiseur, prise/dépose des intercalaires (en option), restitution des palettes à l’opérateur. nous avons développé une gamme de cellule de palettisation jypal afin d’apporter une réponse adaptée à votre besoin palettiseur monoligne, palettiseur multilignes, palettiseur compact et modulable, dépalettiseur.découvrez ci-dessous tous nos palettiseurs automatiques. une fois votre produit fabriqué, puis mis en caisse, il est prêt à être expédié vers vos circuits de distribution. c’est à ce moment précis que la palettisation robotisée intervient ! les caisses, sacs, fardeaux … qui contiennent votre produit peuvent ainsi être palettisés de façon automatique.  le palettiseur robotisé est la solution qui vous permet d'automatiser la mise sur palette de vos produits. ainsi, ce n'est plus à l'opérateur de réaliser cette tâche difficile à faible valeur ajoutée qui sera désormais réalisée par un robot. c'est pourquoi nous parlons de palettiseur ""robotisé"". les robots de palettisation sont des solutions standard. en revanche, le préhenseur du robot (quise trouve à l'extrémité du robot et qui permet de saisir le produit), lui, est conçu selon le produit et le besoin de palettisation. c'est ici que la valeur ajoutée de jyga intervient. jyga vous propose le préhenseur le plus adapté à votre produit selon son poids, sa taille, son format, ses spécificités (fragilité, souplesse, chaleur ...), les besoins de cadence ... la valeur ajoutée de jyga intervient également dans le programme développé pour votre projet et envoyé directement dans le robot de palettisation. c'est grâce à ce programme que le palettiseur réalise ses fonctions de prise / dépose des produits sur la palette. nos robots palettiseurs sont gérés depuis une interface homme-machine ergonomique et intuitive sur laquelle est intégrée notre logiciel de plan de palettisation jy'tool.
nous parlons également de cellule de palettisation puisque la plupart de nos palettiseurs sont entourés d'une enceintre grillagée pour assurer la protection des personnes dans les usines. aujourd'hui, de nouvelles solutions cobotiques permettent de se libérer de ces enceintes grillagées.   grâce à 25 années de créativité et d’innovation, nos palettiseurs automatiques répondent à toutes vos problématiques de paletisation. quelles que soient la complexité de votre produit, vos cadences de production, votre implantation, nous saurons vous proposer une cellule de palettisation adaptée qui s’intègrera facilement dans votre ligne de production : palettiseur monoligne, palettiseur multilignes, paletiseur compact et modulable, dépalettiseur. 
nos palettiseurs sont ergonomiques, accessibles et utilisent les dernières technologies robotiques, de vision, de contrôle/commande.
en modernisant la palettisation de vos lignes vous : recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
6,https://www.jyga.fr/etuyeuse-automatique,JYGA,d’etuyeuses/encartonneuse top load  side load ,"étuyage nos etuyeuses automatiques forment vos étuis, introduisent les produits dans l’étui puis le ferment. l’étuyage est réalisé en continu ou en séquentiel selon la cadence. selon les contraintes de chargement de vos produits, nous vous proposons deux types d’etuyeuses/encartonneuse : top load (chargement par le dessus) ou side load (chargement par le côté) …  robotisées ou mécanisées, nos solutions sont flexibles et ergonomiques. découvrez ci-dessous toutes nos étuyeuses. l’étuyage est principalement un conditionnement secondaire, souvent présent derrière une ensacheuse. ces emballages secondaires permettent la protection du produit et offrent un espace de communication pour le consommateur. un étui est souvent une uvc (unité de vente consommateur) en carton compact ou micro-cannelure. on retrouve de nombreux produits sous étuis comme des steaks hachés en sachet, des gâteaux, des fromages, des pots, dentifrices, crèmes de soin … 
ces étuis peuvent ensuite être encaissés dans des plus grands contenants (caisses carton wrap, caisses américaines …).  grâce à 25 années de créativité et d’innovation, nos etuyeuses/encartonneuses sont à même de répondre à toutes vos problématiques de mise sous étui. quelle que soit la complexité de votre produit, vos cadences de production, votre implantation, nous saurons vous proposer une solution adaptée qui s’intègrera dans votre ligne de production : étuyeuse sideload ou étuyeuse topload. 
nos étuyeuses sont ergonomiques, accessibles et utilisent les dernières technologies robotiques, de vision, de contrôle/commande (brusless, controleur d’axe, ihm).
les avantages de l’automatisation : recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
7,https://www.jyga.fr/enclayeuse-declayeuse,JYGA,,"enclayage déclayage pour le stockage, la stérilisation, la maturation de vos produits, jyga propose une solution automatisée d'enclayage. pour alimenter vos lignes de conditionnement à partir de produits sur claies, nous avons également une solution de déclayage automatique.découvrez notre solution ! recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
8,https://www.jyga.fr/chargement-robotise,JYGA,,"chargement robotisé sur vos lignes de production, certaines tâches sont restées manuelles (alimentation, chargement, déchargement …). l’évolution de vos lignes requiert l’automatisation de ces fonctions ? jyga a développé trois cellules de chargement robotisé adaptées à votre besoin pour vos lignes de chargement automatique. à l’aide d’un robot, ces cellules vous permettent d’automatiser le chargement de vos produits dans vos machines : chargement automatique étuyeuse, robot chargement thermoformeuse, ensacheuses, encaisseuses. découvrez nos solutions ! recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
9,https://www.jyga.fr/machine-emballage-conditionnement-fin-de-ligne,JYGA,,"autres machines pour tout environnement particulier, jyga s’adapte en vous proposant des machines sur-mesure pour vos lignes de production. ces machines spéciales reposent sur nos savoir-faire dans le traitement de produits singuliers et la maîtrise de concepts innovants : manipulation de produits nus, démoulage, couverclage, empilage, étiquetage de palettes … elles sont conçues en robotique ou mécanique selon les contraintes. elles peuvent naître de nos standard jybox pour exploiter des technologies éprouvées. recevoir les actualités jyga  7 rue edouard branly - zi la bergerie - 49280 la seguiniere - france
tel +33 (0)2 41 56 49 92contact@jygaprocess.com"
